nomeSelecao,numeroFigura,descricao,quantidade,rara
RSA,4,Jogador,1,false
RSA,13,Titulares,2,false
KOR,15,Jogador,1,false
KOR,19,Jogador,1,false
CZE,10,Jogador,2,false
CZE,11,Jogador,1,false
CZE,13,Titulares,1,false
CAN,4,Jogador,1,false
CAN,8,Jogador,1,false
BIH,9,Jogador,1,false
BRA,19,Jogador,1,false
SCO,10,Jogador,1,false
SCO,13,Titulares,1,false
USA,17,Jogador,1,false
USA,20,Jogador,1,false
PAR,9,Jogador,1,false
AUS,13,Titulares,1,false
TUR,13,Titulares,1,false
TUR,18,Jogador,4,false
GER,20,Jogador,1,false
ECU,3,Jogador,1,false
SWE,4,Jogador,1,false
EGY,11,Jogador,1,false
EGY,16,Jogador,1,false
EGY,20,Jogador,1,false
KSA,9,Jogador,1,false
IRQ,15,Jogador,1,false
IRQ,18,Jogador,1,false
IRQ,19,Jogador,1,false
NOR,18,Jogador,1,false
AUT,13,Titulares,1,false
JOR,7,Jogador,1,false
JOR,9,Jogador,1,false
JOR,11,Jogador,1,false
JOR,14,Jogador,1,false
JOR,16,Jogador,1,false
UZB,5,Jogador,1,false
UZB,7,Jogador,1,false
UZB,8,Jogador,1,false
UZB,11,Jogador,1,false
UZB,13,Titulares,1,false
UZB,18,Jogador,1,false
UZB,19,Jogador,1,false
UZB,20,Jogador,1,false
ENG,5,Jogador,1,false
ENG,9,Jogador,1,false
PAN,20,Jogador,1,false
